N;Estrutura;Algoritmo;TipoDados;Tempo_ms;Comparacoes
100;2;1;0;0.0500;4693
100;2;1;1;0.1400;4779
100;2;1;2;0.0000;99
1000;2;1;0;2.2400;478777
1000;2;1;1;2.4700;479799
1000;2;1;2;0.0000;999
10000;2;1;0;212.5600;47988318
10000;2;1;1;383.0500;47997999
10000;2;1;2;0.0400;9999
100;1;1;0;0.0000;4686
100;1;1;1;0.0800;4779
100;1;1;2;0.0000;99
1000;1;1;0;3.0200;479012
1000;1;1;1;3.0500;479799
1000;1;1;2;0.0000;999
10000;1;1;0;296.4700;47998241
10000;1;1;1;326.4200;47997999
10000;1;1;2;0.1200;9999
100;2;2;0;0.0400;3032
100;2;2;1;0.0000;1031
100;2;2;2;0.0000;4951
1000;2;2;0;1.0100;299434
1000;2;2;1;0.3900;100301
1000;2;2;2;1.3300;499501
10000;2;2;0;139.7700;30026251
10000;2;2;1;24.5200;10003001
10000;2;2;2;157.5200;49995001
100;1;2;0;0.0000;3050
100;1;2;1;0.0200;1030
100;1;2;2;0.0200;4950
1000;1;2;0;1.5700;301004
1000;1;2;1;0.7100;100300
1000;1;2;2;2.1000;499500
10000;1;2;0;159.1700;30029712
10000;1;2;1;41.0800;10003000
10000;1;2;2;209.6800;49995000
100;2;3;0;0.0000;4950
100;2;3;1;0.0000;4950
100;2;3;2;0.0000;4950
1000;2;3;0;1.0400;499500
1000;2;3;1;1.3200;499500
1000;2;3;2;1.4500;499500
10000;2;3;0;149.0900;49995000
10000;2;3;1;151.5400;49995000
10000;2;3;2;181.2500;49995000
100;1;3;0;0.0000;4950
100;1;3;1;0.0900;4950
100;1;3;2;0.0000;4950
1000;1;3;0;2.0300;499500
1000;1;3;1;2.4900;499500
1000;1;3;2;1.7900;499500
10000;1;3;0;198.1900;49995000
10000;1;3;1;181.0000;49995000
10000;1;3;2;185.2700;49995000
100;2;4;0;0.0000;1232
100;2;4;1;0.0000;1264
100;2;4;2;0.0000;1340
1000;2;4;0;0.6800;102500
1000;2;4;1;0.9700;102694
1000;2;4;2;0.6300;103490
10000;2;4;0;81.1100;10024330
10000;2;4;1;50.5900;10026994
10000;2;4;2;51.6000;10034990
100;1;4;0;0.0000;1257
100;1;4;1;0.0000;4950
100;1;4;2;0.0000;2670
1000;1;4;0;0.6600;102379
1000;1;4;1;2.1800;499500
1000;1;4;2;1.2900;260700
10000;1;4;0;37.0600;10023715
10000;1;4;1;170.5400;49995000
10000;1;4;2;87.6400;26007000
100;2;5;0;0.0000;526
100;2;5;1;0.0000;356
100;2;5;2;0.0000;427
1000;2;5;0;0.2900;8186
1000;2;5;1;0.0500;5044
1000;2;5;2;0.0400;5839
10000;2;5;0;2.2000;112290
10000;2;5;1;1.3400;69008
10000;2;5;2;1.2100;77002
100;1;5;0;0.0000;525
100;1;5;1;0.1500;356
100;1;5;2;0.0000;427
1000;1;5;0;0.2500;8194
1000;1;5;1;0.2000;5044
1000;1;5;2;0.0500;5839
10000;1;5;0;2.4600;112318
10000;1;5;1;1.6100;69008
10000;1;5;2;1.8200;77002
